Material compositions 1,Material compositions 2,Enorm (eV),E_raw (eV),Site2_MeltingT,Site1_MendeleevNumber,Site1_MiracleRadius,GSestFCClatcnt_max_value,Site2_BCCenergy_pa,Site1_BCCfermi,CovalentRadius_max_value,Site2_Density,n_ws^third_min_value,Site1_HHIr,IonicRadii_max_value,BoilingT_max_value,valence_arithmetic_average,Site2_NdUnfilled,Site1_IonicRadii,BCCenergy_pa_composition_average,MiracleRadius_min_value,MeltingT_min_value,NUnfilled_max_value,Site2_Group,Site1_CovalentRadii,Site2_NUnfilled,SpecificHeatCapacity_difference,Site1_Electronegativity,BCCenergy_pa_arithmetic_average
Al,Ag,-0.12503,1.141071032,-0.531814423,1.16944744,0.052195504,-0.600965792,1.021336909,0.93940978,-0.423908049,0.152291483,-0.193919721,-0.728513162,1.636880876,-1.113670205,-1.247729981,-0.943565335,-0.959536007,1.189678856,0.608756901,-0.548330699,-0.056603753,0.626614816,-0.830021362,-1.036320247,1.334986636,-0.773893324,1.189678856
Al,As,-0.14243,1.123671032,-0.693817011,1.16944744,0.052195504,0.286150736,0.575732436,0.93940978,-1.753900876,-0.730831521,-0.06499102,-0.728513162,-1.062353446,-1.113670205,0.039977858,-0.943565335,-0.959536007,0.873240879,-1.567015743,-0.548330699,-0.056603753,1.647209006,-0.830021362,-0.391287965,0.993145955,-0.773893324,0.873240879
Al,Au,-0.22471,1.041391032,-0.41735182,1.16944744,0.052195504,-0.563176235,0.882893005,0.93940978,-0.922655359,1.785781651,-0.06499102,-0.728513162,0.216231232,-0.812660981,-0.818494035,-0.943565335,-0.959536007,1.091365415,0.608756901,-0.548330699,-0.056603753,0.626614816,-0.830021362,-1.036320247,1.720007193,-0.773893324,1.091365415
Al,Bi,-0.35403,0.912071032,-1.303688068,1.16944744,0.052195504,1.615079521,0.670988513,0.93940978,-0.257658945,0.020648121,-1.053444393,-0.728513162,1.068621018,-1.113670205,0.039977858,-0.943565335,-0.959536007,0.940885263,0.608756901,-1.196507075,-0.056603753,1.647209006,-0.830021362,-0.391287965,1.74159713,-0.773893324,0.940885263
Al,Ca,-0.19265,1.073451032,-0.66587204,1.16944744,0.052195504,2.115409261,1.257619951,0.93940978,1.293999353,-1.505302399,-2.127850234,-0.728513162,0.926556054,-1.113670205,-1.247729981,-0.943565335,-0.959536007,1.357470995,0.608756901,-0.548330699,-0.056603753,-1.669722113,-0.830021362,-1.358836389,-0.147522422,-0.773893324,1.357470995
Al,Cd,-0.10511,1.160991032,-1.247999329,1.16944744,0.052195504,-0.109624705,1.611400759,0.93940978,-0.479324417,-0.188868779,-0.709634524,-0.728513162,0.689781114,-1.113670205,-1.247729981,-0.943565335,-0.959536007,1.608702053,0.608756901,-1.113508779,-0.056603753,0.881763363,-0.830021362,-1.358836389,1.345781605,-0.773893324,1.608702053
Al,Ce,-0.33259,0.933511032,-0.71505519,1.16944744,0.052195504,2.062556995,0.444518473,0.93940978,2.845657651,-0.552464036,-0.924515692,-0.728513162,1.589525887,-0.362486948,-0.389258088,1.859648185,-0.959536007,0.78006165,0.608756901,-0.548330699,6.27571283,-1.414573566,-0.830021362,5.736518715,1.496911169,-0.773893324,0.78006165
Al,Co,0.7443,2.010401032,0.064050614,1.16944744,0.052195504,-0.600965792,-0.248457198,0.93940978,-1.476819037,-0.142515482,-0.06499102,-0.728513162,-0.73086853,-0.749243607,-0.818494035,-0.009160828,-0.959536007,0.28795748,-0.730180111,-0.548330699,-0.056603753,0.11631772,-0.830021362,-0.391287965,0.665698566,-0.773893324,0.28795748
Al,Cr,0.9101,2.176201032,0.524583744,1.16944744,0.052195504,-0.600965792,-1.000991245,0.93940978,-0.756406256,-0.468842689,-0.06499102,-0.728513162,-0.872933494,-0.977903433,0.469213804,0.613775509,-0.959536007,-0.246440996,-0.311762294,-0.548330699,0.315885458,-0.649127923,-0.830021362,0.576260458,0.564945524,-0.773893324,-0.246440996
Al,Cu,-0.07002,1.196081032,-0.394504011,1.16944744,0.052195504,-0.600965792,0.746249178,0.93940978,-1.14432083,-0.138807219,-0.06499102,-0.728513162,-0.352028625,-0.749243607,-1.247729981,-0.943565335,-0.959536007,0.994330267,-0.646496547,-0.548330699,-0.056603753,0.626614816,-0.830021362,-1.036320247,0.795238193,-0.773893324,0.994330267
Al,Er,-0.10337,1.162731032,0.066286212,1.16944744,0.052195504,1.35156951,0.51405841,0.93940978,2.014412134,-0.111736893,-0.752610758,-0.728513162,0.926556054,-0.801942552,-0.818494035,-0.943565335,-0.959536007,0.829444182,0.608756901,-0.548330699,-0.056603753,-1.414573566,-0.830021362,-0.713804106,1.576074274,-0.773893324,0.829444182
Al,Fe,0.8777,2.143801032,0.112115965,1.16944744,0.052195504,-0.600965792,-0.637552182,0.93940978,-1.14432083,-0.332749411,-0.06499102,-0.728513162,-1.204418411,-0.808194969,0.469213804,0.30230734,-0.959536007,0.011648697,-0.730180111,-0.548330699,-0.056603753,-0.138830827,-0.830021362,-0.068771824,0.564945524,-0.773893324,0.011648697
Al,Ga,-0.07761,1.188491032,-1.573625315,1.16944744,0.052195504,-0.209051427,0.944313144,0.93940978,-1.698484508,-0.698013387,-0.408800889,-0.728513162,-0.872933494,-1.113670205,-0.818494035,-0.943565335,-0.959536007,1.134981819,0.022971959,-1.598820574,-0.056603753,1.136911911,-0.830021362,0.253744317,0.845614714,-0.773893324,1.134981819
Al,Ge,-0.11104,1.155061032,-0.55811623,1.16944744,0.052195504,0.402207623,0.556834769,0.93940978,-1.753900876,-0.805738448,-0.150943487,-0.728513162,-1.251773399,-0.844816269,-0.389258088,-0.943565335,-0.959536007,0.859821042,-1.650699306,-0.548330699,-0.056603753,1.392060459,-0.830021362,-0.068771824,1.029129185,-0.773893324,0.859821042
Al,Hf,0.79709,2.063191032,0.888986172,1.16944744,0.052195504,0.289688354,-1.081421964,0.93940978,1.238582985,0.675156668,-0.06499102,-0.728513162,0.121521256,0.747763693,-0.389258088,1.548180016,-0.959536007,-0.30355742,0.608756901,-0.548330699,1.06086388,-1.159425018,-0.830021362,1.22129274,1.676827317,-0.773893324,-0.30355742
Al,Hg,-0.18024,1.085861032,-1.650295138,1.16944744,0.052195504,0.701128838,1.784430608,0.93940978,-1.14432083,0.716689221,-0.709634524,-0.728513162,1.02126603,-1.113670205,-1.247729981,-0.943565335,-0.959536007,1.731576078,0.608756901,-1.713089003,-0.056603753,0.881763363,-0.830021362,-1.358836389,1.676827317,-0.773893324,1.731576078
Al,In,-0.16474,1.101361032,-1.431843708,1.16944744,0.052195504,0.572503382,1.041031352,0.93940978,-0.590157152,-0.437322448,-1.01046816,-0.728513162,-0.020543708,-1.113670205,-0.818494035,-0.943565335,-0.959536007,1.203664509,0.608756901,-1.387509778,-0.056603753,1.136911911,-0.830021362,0.253744317,1.342183282,-0.773893324,1.203664509
Al,Ir,0.9591,2.225201032,1.149433305,1.16944744,0.052195504,-0.600965792,-0.62016634,0.93940978,-0.64557352,2.390228637,-0.06499102,-0.728513162,-0.825578506,0.591453265,-0.818494035,-0.009160828,-0.959536007,0.023994939,0.190339085,-0.548330699,-0.056603753,0.11631772,-0.830021362,-0.391287965,1.712810547,-0.773893324,0.023994939
Al,La,-0.48849,0.777611032,-0.578683729,1.16944744,0.052195504,2.028135202,0.402585611,0.93940978,3.011906755,-0.653143396,-0.967491926,-0.728513162,1.684235864,-0.269593893,-0.818494035,1.859648185,-0.959536007,0.750283785,0.608756901,-0.548330699,1.43335309,-1.414573566,-0.830021362,1.543808881,1.496911169,-0.773893324,0.750283785
Al,Mg,-0.01939,1.246711032,-0.880489421,1.16944744,0.052195504,0.386295874,1.380896676,0.93940978,-0.64557352,-1.47044472,-1.01046816,-0.728513162,-0.399383613,-1.113670205,-1.247729981,-0.943565335,-0.959536007,1.445013737,0.608756901,-0.565773336,-0.056603753,-1.669722113,-0.830021362,-1.358836389,-0.626099375,-0.773893324,1.445013737
Al,Mn,0.6552,1.921301032,-0.214281301,1.16944744,0.052195504,-0.600965792,-0.811898983,0.93940978,-0.756406256,-0.407656338,-0.06499102,-0.728513162,-0.636158553,-1.113670205,0.89844975,0.613775509,-0.959536007,-0.112160538,-0.144395168,-0.548330699,-0.056603753,-0.393979375,-0.830021362,0.253744317,0.453397512,-0.773893324,-0.112160538
Al,Mo,1.7601,3.026201032,1.324927726,1.16944744,0.052195504,-0.600965792,-1.400787522,0.93940978,0.074839261,0.113354714,-0.06499102,-0.728513162,-1.014998458,0.779918981,0.469213804,0.613775509,-0.959536007,-0.530349109,0.441389775,-0.548330699,0.315885458,-0.649127923,-0.830021362,0.576260458,1.281011792,-0.773893324,-0.530349109
Al,Na,-0.06923,1.196871032,-1.497659704,1.16944744,0.052195504,1.195993136,1.458151306,0.93940978,0.739835675,-1.613212873,-2.514636336,-0.728513162,1.02126603,-1.113670205,-1.676965927,-0.943565335,-0.959536007,1.499874719,0.608756901,-1.485601702,-0.056603753,-1.924870661,-0.830021362,-1.036320247,0.129548446,-0.773893324,1.499874719
Al,Nb,1.4009,2.667001032,1.161729093,1.16944744,0.052195504,-0.317204352,-1.176407373,0.93940978,0.629002939,-0.203701834,-0.06499102,-0.728513162,-0.778223518,0.873705238,0.039977858,0.925243678,-0.959536007,-0.371009595,0.608756901,-0.548330699,0.688374669,-0.90427647,-0.830021362,0.898776599,1.227036948,-0.773893324,-0.371009595
Al,Nd,-0.3353,0.930801032,-0.465786044,1.16944744,0.052195504,1.813591993,0.451799986,0.93940978,2.679408548,-0.492946404,-0.881539459,-0.728513162,2.299850709,-0.594719584,-0.818494035,-0.943565335,-0.959536007,0.785232486,0.608756901,-0.548330699,1.805842301,-1.414573566,-0.830021362,1.866325022,1.496911169,-0.773893324,0.785232486
Al,Ni,0.33349,1.599591032,0.01933866,1.16944744,0.052195504,-0.600965792,0.210847207,0.93940978,-1.587651773,-0.141032177,-0.06499102,-0.728513162,-0.541448577,-0.761748441,-0.818494035,-0.320628997,-0.959536007,0.614124217,-0.646496547,-0.548330699,-0.056603753,0.371466268,-0.830021362,-0.713804106,0.582937138,-0.773893324,0.614124217
Al,Os,1.54,2.806101032,1.783225258,1.16944744,0.052195504,-0.600965792,-1.247658353,0.93940978,-0.479324417,2.395791033,-0.06499102,-0.728513162,-0.825578506,1.113083494,1.327685696,0.30230734,-0.959536007,-0.421607193,0.106655522,-0.548330699,-0.056603753,-0.138830827,-0.830021362,-0.068771824,1.712810547,-0.773893324,-0.421607193
Al,P,-0.22713,1.038971032,-1.557540189,1.16944744,0.052195504,0.341770656,0.436215922,0.93940978,-1.753900876,-1.454684599,-0.06499102,-0.728513162,-1.251773399,-1.113670205,0.039977858,-0.943565335,-0.959536007,0.774165743,-2.654902065,-1.574847361,-0.056603753,1.647209006,-0.830021362,-0.391287965,-0.586517822,-0.773893324,0.774165743
Al,Pb,-0.32056,0.945541032,-1.240856595,1.16944744,0.052195504,1.060823299,0.764166746,0.93940978,-0.368491681,0.309892691,-1.096420627,-0.728513162,1.826300828,-1.113670205,-0.389258088,-0.943565335,-0.959536007,1.007054105,0.608756901,-1.102863273,-0.056603753,1.392060459,-0.830021362,-0.068771824,1.71640887,-0.773893324,1.007054105
Al,Pd,0.25651,1.522611032,0.131174436,1.16944744,0.052195504,-0.600965792,0.314611849,0.93940978,-0.756406256,0.436529897,-0.06499102,-0.728513162,-0.778223518,-0.717088319,-0.389258088,-0.943565335,-0.959536007,0.687810805,0.608756901,-0.548330699,-0.056603753,0.371466268,-0.830021362,-1.358836389,1.30260173,-0.773893324,0.687810805
Al,Pt,0.33779,1.603891032,0.369656822,1.16944744,0.052195504,-0.600965792,0.065987337,0.93940978,-0.922655359,2.117671254,-0.06499102,-0.728513162,-0.825578506,0.05285219,-0.389258088,-0.632097166,-0.959536007,0.511254594,0.441389775,-0.548330699,-0.056603753,0.371466268,-0.830021362,-0.713804106,1.712810547,-0.773893324,0.511254594
Al,Re,1.9229,3.189001032,1.954248483,1.16944744,0.052195504,-0.600965792,-1.775060415,0.93940978,-0.091409842,2.104692331,-0.06499102,-0.728513162,-1.251773399,1.634713723,0.89844975,0.613775509,-0.959536007,-0.796132251,0.274022648,-0.548330699,-0.056603753,-0.393979375,-0.830021362,0.253744317,1.687622286,-0.773893324,-0.796132251
Al,Rh,0.8024,2.068501032,0.588298279,1.16944744,0.052195504,-0.600965792,-0.227561963,0.93940978,-0.590157152,0.515701328,-0.06499102,-0.728513162,-0.636158553,-0.063264128,0.469213804,-0.320628997,-0.959536007,0.302795854,-0.144395168,-0.548330699,-0.056603753,0.11631772,-0.830021362,-0.391287965,1.309798376,-0.773893324,0.302795854
Al,Ru,1.3302,2.596301032,1.001883856,1.16944744,0.052195504,-0.600965792,-0.722634595,0.93940978,-0.368491681,0.500868273,-0.06499102,-0.728513162,-0.872933494,0.343142985,1.327685696,-0.009160828,-0.959536007,-0.048771043,0.022971959,-0.548330699,-0.056603753,-0.138830827,-0.830021362,-0.068771824,1.324191667,-0.773893324,-0.048771043
Al,S,-0.15472,1.111381032,-1.478109402,1.16944744,0.052195504,0.77194857,0.937040808,0.93940978,-1.753900876,-1.429282992,-0.06499102,-0.728513162,-1.251773399,-1.113670205,0.469213804,-0.943565335,-0.959536007,1.1298175,-2.571218502,-1.456464003,-0.056603753,1.902357554,-0.830021362,-0.713804106,-0.374216768,-0.773893324,1.1298175
Al,Sb,-0.24038,1.025721032,-0.901973515,1.16944744,0.052195504,1.461795358,0.672618521,0.93940978,-0.756406256,-0.550980731,-0.623682057,-0.728513162,-0.20996366,-1.113670205,0.039977858,-0.943565335,-0.959536007,0.942042784,0.608756901,-0.597793152,-0.056603753,1.647209006,-0.830021362,-0.391287965,1.435739679,-0.773893324,0.942042784
Al,Sc,0.30159,1.567691032,0.115469362,1.16944744,0.052195504,0.294636562,-0.007621061,0.93940978,0.961501146,-1.239234477,-0.580705823,-0.728513162,-0.257318649,-0.835884244,-0.818494035,1.859648185,-0.959536007,0.458982918,0.608756901,-0.548330699,1.43335309,-1.414573566,-0.830021362,1.543808881,0.136745092,-0.773893324,0.458982918
Al,Se,-0.44259,0.823511032,-1.360025131,1.16944744,0.052195504,0.788960664,0.967457881,0.93940978,-1.753900876,-0.899186694,-0.06499102,-0.728513162,-1.251773399,-1.113670205,0.469213804,-0.943565335,-0.959536007,1.151417636,-1.315965053,-1.28047163,-0.056603753,1.902357554,-0.830021362,-0.713804106,1.029129185,-0.773893324,1.151417636
Al,Si,-0.15373,1.112371032,-0.026491093,1.16944744,0.052195504,0.03384853,0.370947113,0.93940978,-1.753900876,-1.360680114,-0.06499102,-0.728513162,-1.251773399,-0.773360073,-0.389258088,-0.943565335,-0.959536007,0.727816276,-1.985433559,-0.548330699,-0.056603753,1.392060459,-0.830021362,-0.068771824,-0.338233538,-0.773893324,0.727816276
Al,Sn,-0.1955,1.070601032,-1.34763992,1.16944744,0.052195504,1.651374928,0.671125117,0.93940978,-0.756406256,-0.437322448,-0.709634524,-0.728513162,-0.446738601,-1.039534402,-0.389258088,-0.943565335,-0.959536007,0.94098227,0.608756901,-1.262012756,-0.056603753,1.392060459,-0.830021362,-0.068771824,1.360174897,-0.773893324,0.94098227
Al,Ta,1.5159,2.782001032,1.765340476,1.16944744,0.052195504,-0.32691117,-1.700431039,0.93940978,0.961501146,1.294436708,-0.06499102,-0.728513162,-0.778223518,1.511451785,0.039977858,1.236711847,-0.959536007,-0.743135547,0.608756901,-0.548330699,0.688374669,-0.90427647,-0.830021362,0.898776599,1.676827317,-0.773893324,-0.743135547
Al,Tc,1.7083,2.974401032,0.804033458,1.16944744,0.052195504,-0.600965792,-1.175942345,0.93940978,-0.313075313,0.339558801,-0.06499102,-0.728513162,-1.157063423,0.445861266,0.89844975,0.613775509,-0.959536007,-0.370679363,0.190339085,-0.548330699,-0.056603753,-0.393979375,-0.830021362,0.253744317,1.316995021,-0.773893324,-0.370679363
Al,Te,-0.36132,0.904781032,-1.104429244,1.16944744,0.052195504,1.808698998,0.987315855,0.93940978,-0.811822623,-0.635714557,-0.06499102,-0.728513162,0.78449109,-1.113670205,0.469213804,-0.943565335,-0.959536007,1.165519418,0.525073338,-0.899532441,-0.056603753,1.902357554,-0.830021362,-0.713804106,1.453731294,-0.773893324,1.165519418
Al,Ti,0.94129,2.207391032,0.257429817,1.16944744,0.052195504,-0.564886718,-0.451494405,0.93940978,0.407337468,-0.957035608,-0.06499102,-0.728513162,-0.920288482,-0.427690726,-0.389258088,1.548180016,-0.959536007,0.143774271,0.608756901,-0.548330699,1.06086388,-1.159425018,-0.830021362,1.22129274,0.298669625,-0.773893324,0.143774271
Al,Tl,-0.27676,0.989341032,-1.267247826,1.16944744,0.052195504,0.91368165,1.160558109,0.93940978,-0.423908049,0.404453416,-1.225349328,-0.728513162,3.720500352,-1.113670205,-0.818494035,-0.943565335,-0.959536007,1.288544279,0.608756901,-1.142196669,-0.056603753,1.136911911,-0.830021362,0.253744317,1.71640887,-0.773893324,1.288544279
Al,V,1.3412,2.607301032,0.52793714,1.16944744,0.052195504,-0.600965792,-0.832420822,0.93940978,0.019422894,-0.659818271,-0.06499102,-0.728513162,-1.251773399,-0.320506433,0.039977858,1.236711847,-0.959536007,-0.126733751,0.022971959,-0.548330699,0.688374669,-0.90427647,-0.830021362,0.898776599,0.421012605,-0.773893324,-0.126733751
Al,W,1.9362,3.202301032,2.218049014,1.16944744,0.052195504,-0.600965792,-2.030509893,0.93940978,0.518170204,1.776510992,-0.06499102,-0.728513162,-0.96764347,1.598092422,0.469213804,0.925243678,-0.959536007,-0.977535089,0.106655522,-0.548330699,0.315885458,-0.649127923,-0.830021362,0.576260458,1.712810547,-0.773893324,-0.977535089
Al,Y,-0.14998,1.116121032,0.098702379,1.16944744,0.052195504,1.551103553,-0.057757695,0.93940978,2.069828502,-0.963525069,-0.838563225,-0.728513162,1.02126603,-0.375884984,-0.818494035,1.859648185,-0.959536007,0.423379292,0.608756901,-0.548330699,1.43335309,-1.414573566,-0.830021362,1.543808881,1.101095644,-0.773893324,0.423379292
Al,Zn,-0.08491,1.181191032,-1.137940854,1.16944744,0.052195504,-0.600965792,1.487180929,0.93940978,-1.698484508,-0.468842689,-0.365824655,-0.728513162,-0.304673637,-1.113670205,-1.247729981,-0.943565335,-0.959536007,1.520489582,0.525073338,-0.949478024,-0.056603753,0.881763363,-0.830021362,-1.358836389,0.784443224,-0.773893324,1.520489582
Al,Zr,0.65613,1.922231032,0.466458203,1.16944744,0.052195504,0.428380823,-0.691737792,0.93940978,1.238582985,-0.585467583,-0.06499102,-0.728513162,0.168876244,0.574482419,-0.389258088,1.548180016,-0.959536007,-0.026830236,0.608756901,-0.548330699,1.06086388,-1.159425018,-0.830021362,1.22129274,1.180258749,-0.773893324,-0.026830236
Au,Au,0,1.784682868,-0.41735182,0.498372116,0.192761615,-0.563176235,0.882893005,-0.083205118,-0.922655359,1.785781651,0.708581185,-0.728513162,0.216231232,-0.812660981,-0.818494035,-0.943565335,1.213465142,1.189945695,0.776124028,0.124485276,-1.546560596,0.626614816,0.690287126,-1.036320247,-1.05789813,1.764321586,1.189945695
Au,Ag,0.0348,1.819482868,-0.531814423,0.498372116,0.192761615,-0.563176235,1.021336909,-0.083205118,-0.423908049,0.152291483,-0.193919721,-0.728513162,1.636880876,-0.812660981,-1.247729981,-0.943565335,1.213465142,1.288259137,0.776124028,-0.046109375,-1.546560596,0.626614816,0.690287126,-1.036320247,-0.672877573,1.764321586,1.288259137
Au,Cd,-0.0552,1.729482868,-1.247999329,0.498372116,0.192761615,-0.109624705,1.611400759,-0.083205118,-0.479324417,-0.188868779,-0.709634524,-0.728513162,0.689781114,-0.812660981,-1.247729981,-0.943565335,1.213465142,1.707282334,0.776124028,-1.113508779,-1.546560596,0.881763363,0.690287126,-1.358836389,-0.683672542,1.764321586,1.707282334
Au,Mo,1.0278,2.812482868,1.324927726,0.498372116,0.192761615,-0.563176235,-1.400787522,-0.083205118,0.074839261,0.113354714,0.708581185,-0.728513162,0.216231232,0.779918981,0.469213804,0.613775509,1.213465142,-0.431768828,0.441389775,0.124485276,0.315885458,-0.649127923,0.690287126,0.576260458,-0.618902729,1.764321586,-0.431768828
Au,Nb,0.978,2.762682868,1.161729093,0.498372116,0.192761615,-0.317204352,-1.176407373,-0.083205118,0.629002939,-0.203701834,0.708581185,-0.728513162,0.216231232,0.873705238,0.039977858,0.925243678,1.213465142,-0.272429314,0.776124028,0.124485276,0.688374669,-0.90427647,0.690287126,0.898776599,-0.564927885,1.764321586,-0.272429314
Au,Pd,0.4194,2.204082868,0.131174436,0.498372116,0.192761615,-0.563176235,0.314611849,-0.083205118,-0.756406256,0.436529897,0.708581185,-0.728513162,0.216231232,-0.717088319,-0.389258088,-0.943565335,1.213465142,0.786391086,0.692440464,0.124485276,-1.546560596,0.371466268,0.690287126,-1.358836389,-0.640492667,1.764321586,0.786391086
Au,Rh,0.7576,2.542282868,0.588298279,0.498372116,0.192761615,-0.563176235,-0.227561963,-0.083205118,-0.590157152,0.515701328,0.708581185,-0.728513162,0.216231232,-0.063264128,0.469213804,-0.320628997,1.213465142,0.401376135,-0.144395168,0.124485276,-0.801582174,0.11631772,0.690287126,-0.391287965,-0.647689313,1.764321586,0.401376135
Au,Ru,0.9326,2.717282868,1.001883856,0.498372116,0.192761615,-0.563176235,-0.722634595,-0.083205118,-0.368491681,0.500868273,0.708581185,-0.728513162,0.216231232,0.343142985,1.327685696,-0.009160828,1.213465142,0.049809238,0.022971959,0.124485276,-0.429092963,-0.138830827,0.690287126,-0.068771824,-0.662082605,1.764321586,0.049809238
Au,Tc,1.0052,2.789882868,0.804033458,0.498372116,0.192761615,-0.563176235,-1.175942345,-0.083205118,-0.313075313,0.339558801,0.708581185,-0.728513162,0.216231232,0.445861266,0.89844975,0.613775509,1.213465142,-0.272099083,0.190339085,0.124485276,-0.056603753,-0.393979375,0.690287126,0.253744317,-0.654885959,1.764321586,-0.272099083
Au,Y,0.0704,1.855082868,0.098702379,0.498372116,0.192761615,1.551103553,-0.057757695,-0.083205118,2.069828502,-0.963525069,-0.838563225,-0.728513162,1.02126603,-0.375884984,-0.818494035,1.859648185,1.213465142,0.521959573,0.776124028,0.124485276,1.43335309,-1.414573566,0.690287126,1.543808881,-0.438986581,1.764321586,0.521959573
Au,Zr,0.6971,2.481782868,0.466458203,0.498372116,0.192761615,0.428380823,-0.691737792,-0.083205118,1.238582985,-0.585467583,0.020961447,-0.728513162,0.216231232,0.574482419,-0.389258088,1.548180016,1.213465142,0.071750044,0.776124028,0.124485276,1.06086388,-1.159425018,0.690287126,1.22129274,-0.518149686,1.764321586,0.071750044
