name,sports_car,suv,wagon,minivan,pickup,all_wheel,rear_wheel,msrp,dealer_cost,eng_size,ncyl,ncylA,horsepwr,city_mpg,hwy_mpg,weight,wheel_base,length,width,weight1K
BMW X3 3.0i,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,37000,33873,3,six,morefour,225,16,23,4023,110,180,73,4.023
Buick Rainier,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,37895,34357,4.2,six,morefour,275,15,21,4600,113,193,75,4.6
Buick Rendezvous CX,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,26545,24085,3.4,six,morefour,185,19,26,4024,112,187,74,4.024
Chevrolet Tracker,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20255,19108,2.5,six,morefour,165,19,22,2866,98,163,67,2.866
Chevrolet TrailBlazer LT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30295,27479,4.2,six,morefour,275,16,21,4425,113,192,75,4.425
Ford Escape XLS,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,22515,20907,3,six,morefour,201,18,23,3346,103,173,70,3.346
Ford Expedition 4.6 XLT,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,34560,30468,4.6,six,morefour,232,15,19,5000,119,206,79,5
Ford Explorer XLT V6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,29670,26983,4,six,morefour,210,15,20,4463,114,190,72,4.463
GMC Envoy XUV SLE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,31890,28922,4.2,six,morefour,275,15,19,4945,129,208,75,4.945
Honda Pilot LX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,27560,24843,3.5,six,morefour,240,17,22,4387,106,188,77,4.387
Hyundai Santa Fe GLS,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21589,20201,2.7,six,morefour,173,20,26,3549,103,177,73,3.549
Isuzu Ascender S,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,31849,29977,4.2,six,morefour,275,15,20,4967,129,208,76,4.967
Isuzu Rodeo S,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20449,19261,3.2,six,morefour,193,17,21,3836,106,178,70,3.836
Jeep Grand Cherokee Laredo,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27905,25686,4,six,morefour,195,16,21,3790,106,181,72,3.79
Jeep Wrangler Sahara convertible 2dr,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,25520,23275,4,six,morefour,190,16,19,3575,93,150,67,3.575
Kia Sorento LX,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,19635,18630,3.5,six,morefour,192,16,19,4112,107,180,73,4.112
Land Rover Freelander SE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,25995,23969,2.5,six,morefour,174,18,21,3577,101,175,71,3.577
Lexus RX 330,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,39195,34576,3.3,six,morefour,230,18,24,4065,107,186,73,4.065
Mercury Mountaineer,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29995,27317,4,six,morefour,210,16,21,4374,114,190,72,4.374
Mitsubishi Endeavor XLS,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,30492,28330,3.8,six,morefour,215,17,21,4134,109,190,74,4.134
Mitsubishi Montero XLS,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,33112,30763,3.8,six,morefour,215,15,19,4718,110,190,75,4.718
Nissan Pathfinder SE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27339,25972,3.5,six,morefour,240,16,21,3871,106,183,72,3.871
Nissan Xterra XE V6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20939,19512,3.3,six,morefour,180,17,20,3760,104,178,70,3.76
Pontiac Aztekt,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,21595,19810,3.4,six,morefour,185,19,26,3779,108,182,74,3.779
Suzuki Vitara LX,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,17163,16949,2.5,six,morefour,165,19,22,3020,98,163,67,3.02
Suzuki XL-7 EX,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,23699,22307,2.7,six,morefour,185,18,22,3682,110,187,70,3.682
Toyota 4Runner SR5 V6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,27710,24801,4,six,morefour,245,18,21,4035,110,189,74,4.035
Toyota Highlander V6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,27930,24915,3.3,six,morefour,230,18,24,3935,107,185,72,3.935
Volkswagen Touareg V6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,35515,32243,3.2,six,morefour,220,15,20,5086,112,187,76,5.086
Volvo XC90 T6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,41250,38851,2.9,six,morefour,268,15,20,4638,113,189,75,4.638
